6,000000 2,000000 0,505000 3,421000 19,896000 0,872000 16,000000 1,488000 47,000000
8,000000 1,000000 0,574000 3,377000 20,335000 1,270000 23,000000 1,742000 60,000000
6,000000 1,000000 0,512000 2,863000 19,480000 0,953000 24,000000 1,957000 42,000000
16,000000 2,000000 0,605000 3,244000 20,107000 1,255000 23,000000 2,010000 60,000000
6,000000 1,000000 0,507000 2,899000 20,092000 1,068000 17,000000 1,091000 38,000000
6,000000 1,000000 0,689000 2,978000 20,274000 1,299000 26,000000 1,954000 59,000000
5,000000 1,000000 0,519000 2,867000 19,687000 1,164000 26,000000 1,880000 60,000000
6,000000 1,000000 0,815000 3,038000 20,252000 1,250000 25,000000 1,925000 59,000000
6,000000 1,000000 0,515000 2,872000 20,228000 1,046000 21,000000 1,297000 63,000000
8,000000 1,000000 0,511000 3,262000 20,455000 1,294000 22,000000 1,936000 59,000000
7,000000 1,000000 0,511000 2,894000 19,560000 0,834000 16,000000 1,397000 45,000000
22,000000 2,000000 0,582000 2,917000 20,288000 1,177000 21,000000 1,941000 57,000000
8,000000 1,000000 0,527000 2,870000 20,394000 3,068000 26,000000 1,389000 57,000000
8,000000 2,000000 0,585000 3,097000 20,300000 1,276000 22,000000 2,052000 60,000000
8,000000 1,000000 0,501000 2,888000 19,692000 0,866000 33,000000 0,867000 37,000000
7,000000 1,000000 0,767000 3,200000 20,366000 1,293000 22,000000 1,918000 59,000000
7,000000 1,000000 0,554000 3,461000 20,013000 1,044000 21,000000 1,336000 58,000000
7,000000 1,000000 0,544000 2,934000 20,223000 1,393000 24,000000 1,955000 59,000000
5,000000 1,000000 0,500000 2,871000 20,829000 1,060000 16,000000 1,392000 65,000000
8,000000 2,000000 0,570000 2,917000 20,563000 1,299000 25,000000 1,920000 62,000000
11,000000 1,000000 0,661000 3,410000 12,149000 1,031000 39,000000 1,700000 51,000000
6,000000 1,000000 0,532000 3,144000 20,371000 1,484000 26,000000 1,945000 60,000000
7,000000 1,000000 0,501000 2,879000 19,453000 1,547000 17,000000 1,291000 50,000000
7,000000 2,000000 0,652000 2,888000 20,297000 1,187000 25,000000 2,048000 61,000000
7,000000 1,000000 0,507000 2,907000 19,921000 0,926000 20,000000 1,342000 48,000000
19,000000 4,000000 0,603000 2,912000 20,243000 1,214000 20,000000 2,035000 61,000000
7,000000 2,000000 0,502000 2,894000 19,303000 0,991000 13,000000 1,302000 49,000000
7,000000 2,000000 0,747000 2,851000 20,231000 1,256000 20,000000 1,912000 60,000000
6,000000 1,000000 0,498000 2,907000 20,065000 0,924000 21,000000 1,336000 49,000000
8,000000 2,000000 0,833000 2,892000 20,368000 1,234000 24,000000 2,012000 59,000000
7,000000 1,000000 0,509000 2,894000 19,536000 1,660000 22,000000 1,222000 46,000000
7,000000 2,000000 0,501000 2,838000 20,284000 1,257000 26,000000 1,922000 58,000000
5,000000 2,000000 0,533000 2,886000 19,399000 1,595000 12,000000 1,268000 46,000000
8,000000 1,000000 0,505000 2,886000 20,360000 1,293000 25,000000 1,927000 62,000000
6,000000 1,000000 0,503000 2,865000 19,944000 0,952000 20,000000 1,065000 44,000000
8,000000 1,000000 0,524000 2,896000 20,007000 1,255000 23,000000 2,032000 62,000000
6,000000 3,000000 0,525000 2,978000 16,378000 0,938000 19,000000 1,089000 49,000000
7,000000 3,000000 0,792000 3,061000 20,294000 1,165000 24,000000 1,946000 61,000000
7,000000 2,000000 0,501000 2,860000 19,641000 0,973000 21,000000 1,056000 45,000000
8,000000 1,000000 0,582000 3,124000 20,183000 1,200000 21,000000 1,899000 112,000000
7,000000 1,000000 0,502000 2,989000 13,158000 0,838000 29,000000 0,976000 31,000000
7,000000 1,000000 0,517000 2,869000 20,537000 1,302000 17,000000 2,057000 60,000000
7,000000 1,000000 0,511000 2,861000 19,000000 0,831000 14,000000 1,401000 65,000000
6,000000 2,000000 0,566000 3,053000 20,239000 1,194000 23,000000 1,966000 59,000000
6,000000 2,000000 0,550000 2,951000 20,147000 1,226000 23,000000 1,357000 60,000000
9,000000 1,000000 0,552000 3,163000 20,593000 1,291000 25,000000 1,913000 60,000000
6,000000 2,000000 0,520000 2,890000 19,277000 0,688000 8,000000 0,946000 37,000000
14,000000 2,000000 0,701000 2,933000 20,171000 1,345000 22,000000 1,913000 59,000000
7,000000 2,000000 0,510000 2,878000 19,106000 0,845000 21,000000 1,471000 47,000000
8,000000 1,000000 0,764000 2,965000 20,415000 1,232000 21,000000 1,994000 59,000000
8,000000 1,000000 0,508000 2,905000 19,514000 0,725000 13,000000 1,115000 42,000000
6,000000 1,000000 0,530000 2,875000 19,640000 1,499000 23,000000 1,956000 60,000000
6,000000 2,000000 0,501000 2,985000 20,006000 1,091000 21,000000 1,418000 66,000000
8,000000 2,000000 0,828000 2,993000 20,257000 1,182000 25,000000 1,959000 60,000000
7,000000 2,000000 0,500000 2,897000 19,387000 1,121000 18,000000 0,948000 68,000000
6,000000 2,000000 0,504000 2,886000 20,036000 1,202000 26,000000 1,983000 60,000000
7,000000 1,000000 0,507000 2,875000 18,366000 1,347000 29,000000 1,390000 59,000000
7,000000 2,000000 0,523000 2,886000 20,329000 1,178000 27,000000 1,908000 60,000000
5,000000 1,000000 0,501000 2,886000 19,498000 1,001000 22,000000 1,404000 45,000000
7,000000 1,000000 0,516000 2,898000 18,927000 1,193000 20,000000 1,942000 60,000000
7,000000 2,000000 0,500000 2,895000 18,368000 0,705000 9,000000 0,865000 38,000000
8,000000 1,000000 0,807000 2,933000 20,266000 1,270000 20,000000 1,855000 62,000000
7,000000 2,000000 0,503000 2,873000 19,563000 0,957000 14,000000 1,440000 52,000000
7,000000 1,000000 0,540000 2,855000 20,459000 1,276000 28,000000 1,904000 60,000000
6,000000 1,000000 0,499000 2,965000 19,223000 0,983000 15,000000 1,082000 44,000000
6,000000 1,000000 0,563000 2,901000 20,589000 1,200000 26,000000 1,955000 64,000000
10,000000 2,000000 0,732000 3,019000 19,353000 0,959000 19,000000 1,154000 44,000000
7,000000 1,000000 0,801000 3,131000 20,745000 1,262000 24,000000 1,846000 61,000000
6,000000 2,000000 0,499000 2,924000 20,104000 1,036000 20,000000 1,288000 69,000000
8,000000 1,000000 0,520000 2,871000 20,819000 1,219000 24,000000 1,841000 59,000000
6,000000 2,000000 0,504000 2,869000 19,865000 1,001000 20,000000 1,293000 45,000000
6,000000 1,000000 0,509000 2,847000 20,721000 1,283000 25,000000 1,880000 57,000000
6,000000 2,000000 0,509000 2,916000 19,503000 1,005000 20,000000 1,305000 48,000000
7,000000 2,000000 0,579000 2,907000 20,668000 1,232000 25,000000 1,856000 31,000000
7,000000 1,000000 0,503000 2,924000 20,029000 1,097000 24,000000 1,356000 60,000000
6,000000 2,000000 0,527000 2,897000 20,682000 1,254000 26,000000 1,951000 60,000000
8,000000 1,000000 0,521000 2,874000 20,118000 1,100000 25,000000 1,502000 57,000000
8,000000 3,000000 0,805000 3,306000 20,559000 1,197000 20,000000 1,863000 78,000000
8,000000 1,000000 0,501000 2,895000 19,623000 0,661000 32,000000 1,074000 47,000000
8,000000 2,000000 0,578000 2,937000 19,644000 1,218000 21,000000 1,862000 66,000000
5,000000 2,000000 0,500000 2,910000 19,096000 0,638000 12,000000 0,784000 26,000000
8,000000 1,000000 0,536000 3,235000 20,529000 1,174000 24,000000 1,935000 60,000000
7,000000 2,000000 0,537000 2,851000 19,440000 1,261000 25,000000 1,474000 66,000000
21,000000 1,000000 0,834000 3,021000 20,299000 1,178000 25,000000 1,839000 61,000000
7,000000 2,000000 0,503000 2,939000 19,516000 0,690000 15,000000 0,853000 31,000000
6,000000 1,000000 0,633000 2,949000 20,157000 1,295000 26,000000 1,916000 62,000000
13,000000 5,000000 2,070000 11,880000 79,567000 2,514000 45,000000 2,813000 124,000000
8,000000 2,000000 0,649000 4,238000 21,715000 1,292000 25,000000 1,902000 59,000000
7,000000 1,000000 0,553000 3,779000 20,364000 1,125000 25,000000 1,439000 66,000000
7,000000 1,000000 0,543000 3,750000 20,492000 1,238000 34,000000 1,926000 58,000000
7,000000 1,000000 0,513000 2,908000 19,992000 1,868000 19,000000 2,134000 53,000000
8,000000 1,000000 0,657000 3,000000 20,266000 1,186000 26,000000 2,031000 60,000000
7,000000 2,000000 0,499000 2,912000 19,787000 1,194000 29,000000 1,396000 59,000000
7,000000 1,000000 0,528000 2,863000 20,166000 1,131000 25,000000 2,070000 57,000000
5,000000 2,000000 0,500000 2,875000 19,251000 0,799000 17,000000 1,208000 45,000000
20,000000 2,000000 0,654000 2,941000 20,575000 1,252000 21,000000 1,854000 59,000000
8,000000 1,000000 0,511000 2,906000 19,382000 1,183000 26,000000 1,386000 59,000000
6,000000 2,000000 0,549000 2,924000 20,806000 1,198000 24,000000 2,009000 57,000000
8,000000 2,000000 0,988000 3,415000 19,853000 0,906000 18,000000 1,054000 44,000000
12,000000 3,000000 0,950000 3,431000 20,693000 1,181000 23,000000 1,914000 60,000000
6,000000 1,000000 0,523000 2,883000 20,470000 0,682000 9,000000 0,959000 37,000000
7,000000 1,000000 0,701000 2,969000 20,424000 1,188000 25,000000 1,924000 59,000000
6,000000 2,000000 0,500000 2,993000 20,412000 1,221000 24,000000 1,367000 120,000000
8,000000 1,000000 0,799000 2,999000 20,349000 1,331000 23,000000 1,855000 59,000000
7,000000 1,000000 0,504000 3,369000 12,379000 0,952000 15,000000 1,205000 48,000000
7,000000 2,000000 0,524000 2,843000 20,344000 1,197000 29,000000 1,903000 60,000000
7,000000 2,000000 0,507000 2,934000 20,132000 0,948000 10,000000 1,414000 63,000000
14,000000 2,000000 0,531000 2,877000 20,147000 1,220000 24,000000 1,857000 60,000000
6,000000 1,000000 0,501000 2,873000 20,012000 0,970000 19,000000 1,304000 44,000000
8,000000 1,000000 0,567000 2,868000 19,831000 1,180000 24,000000 1,780000 108,000000
5,000000 1,000000 0,497000 2,916000 20,200000 1,129000 26,000000 1,423000 60,000000
8,000000 2,000000 0,809000 3,119000 20,312000 1,185000 21,000000 1,979000 60,000000
8,000000 1,000000 0,540000 2,869000 19,787000 1,214000 26,000000 1,433000 57,000000
10,000000 1,000000 0,737000 3,210000 20,236000 1,193000 23,000000 1,745000 60,000000
7,000000 2,000000 0,510000 2,926000 19,417000 1,020000 19,000000 1,214000 45,000000
6,000000 1,000000 0,597000 2,909000 20,319000 1,199000 44,000000 1,859000 62,000000
7,000000 1,000000 0,522000 2,863000 20,368000 1,205000 27,000000 1,395000 60,000000
8,000000 2,000000 0,525000 2,883000 20,204000 1,178000 21,000000 1,890000 60,000000
6,000000 1,000000 0,500000 2,940000 19,165000 0,969000 17,000000 1,139000 37,000000
8,000000 1,000000 0,584000 2,955000 20,197000 1,314000 25,000000 1,841000 60,000000
8,000000 1,000000 0,509000 2,868000 19,765000 1,074000 26,000000 1,400000 59,000000
7,000000 2,000000 0,527000 2,874000 20,310000 1,302000 25,000000 1,839000 57,000000
6,000000 1,000000 0,532000 2,991000 19,896000 0,896000 18,000000 1,027000 44,000000
9,000000 1,000000 0,679000 2,953000 20,420000 1,194000 20,000000 2,084000 59,000000
7,000000 1,000000 0,512000 3,358000 19,439000 1,026000 18,000000 1,075000 42,000000
6,000000 1,000000 0,582000 2,953000 20,687000 1,190000 21,000000 1,893000 65,000000
6,000000 1,000000 0,498000 2,869000 20,866000 0,701000 9,000000 0,862000 34,000000
8,000000 2,000000 0,730000 2,950000 20,830000 1,214000 26,000000 1,962000 60,000000
6,000000 1,000000 0,514000 2,852000 19,472000 1,219000 26,000000 1,370000 59,000000
18,000000 2,000000 0,795000 3,009000 20,368000 1,247000 25,000000 1,978000 59,000000
7,000000 1,000000 0,504000 2,892000 19,854000 1,236000 23,000000 1,395000 93,000000
8,000000 2,000000 0,848000 3,454000 20,143000 1,190000 21,000000 2,028000 63,000000
7,000000 1,000000 0,526000 2,938000 19,541000 1,250000 23,000000 1,330000 66,000000
7,000000 1,000000 0,617000 2,864000 20,260000 1,176000 25,000000 1,975000 62,000000
7,000000 2,000000 0,511000 2,889000 19,015000 0,782000 21,000000 1,375000 47,000000
8,000000 1,000000 0,501000 2,885000 20,227000 1,207000 24,000000 1,970000 60,000000
8,000000 1,000000 0,498000 2,885000 19,768000 1,011000 22,000000 1,340000 45,000000
8,000000 1,000000 0,551000 2,998000 16,634000 1,007000 15,000000 1,571000 45,000000
7,000000 2,000000 0,545000 3,307000 19,711000 1,168000 29,000000 1,400000 60,000000
7,000000 2,000000 0,538000 2,910000 20,621000 1,260000 26,000000 1,963000 60,000000
6,000000 1,000000 0,498000 2,902000 18,698000 0,894000 24,000000 1,410000 65,000000
7,000000 2,000000 0,716000 2,881000 20,542000 1,244000 23,000000 2,064000 59,000000
8,000000 1,000000 0,507000 2,987000 19,711000 1,253000 26,000000 1,505000 63,000000
7,000000 2,000000 0,550000 2,883000 20,674000 1,248000 39,000000 1,920000 60,000000
6,000000 2,000000 0,519000 3,359000 20,901000 1,205000 65,000000 1,371000 59,000000
8,000000 2,000000 1,018000 3,053000 20,506000 1,315000 25,000000 1,925000 66,000000
7,000000 1,000000 0,500000 2,889000 17,243000 0,883000 17,000000 1,128000 41,000000
8,000000 1,000000 0,811000 2,930000 20,409000 1,354000 21,000000 1,928000 60,000000
7,000000 1,000000 0,521000 2,914000 20,574000 1,206000 20,000000 1,435000 60,000000
7,000000 1,000000 0,554000 2,954000 20,369000 1,256000 25,000000 1,872000 60,000000
6,000000 1,000000 0,513000 2,907000 20,942000 1,236000 25,000000 1,499000 60,000000
8,000000 1,000000 0,554000 3,252000 12,747000 0,717000 33,000000 1,410000 37,000000
7,000000 1,000000 0,520000 2,953000 20,485000 1,335000 28,000000 1,386000 59,000000
6,000000 2,000000 0,830000 3,041000 20,293000 1,121000 20,000000 1,963000 63,000000
8,000000 1,000000 0,505000 2,925000 20,546000 1,228000 20,000000 1,524000 60,000000
8,000000 2,000000 0,590000 3,141000 20,477000 1,163000 25,000000 1,943000 61,000000
7,000000 1,000000 0,504000 2,862000 18,815000 0,643000 35,000000 0,873000 37,000000
7,000000 2,000000 0,629000 2,898000 20,361000 1,190000 21,000000 1,954000 58,000000
6,000000 1,000000 0,507000 2,965000 20,082000 1,228000 26,000000 1,406000 67,000000
9,000000 2,000000 0,820000 2,929000 20,201000 1,235000 25,000000 1,885000 60,000000
5,000000 1,000000 0,501000 2,864000 20,333000 1,205000 23,000000 1,492000 57,000000
7,000000 1,000000 0,511000 2,897000 19,693000 1,203000 24,000000 1,854000 60,000000
7,000000 2,000000 0,500000 2,947000 19,015000 0,638000 36,000000 0,862000 38,000000
7,000000 2,000000 0,503000 2,915000 20,225000 1,232000 23,000000 1,942000 57,000000
6,000000 2,000000 0,512000 2,950000 18,810000 1,221000 26,000000 1,500000 62,000000
8,000000 1,000000 0,798000 3,144000 20,086000 1,266000 23,000000 1,856000 65,000000
6,000000 1,000000 0,502000 2,972000 19,580000 0,692000 9,000000 0,922000 34,000000
